iter	MultiClass
0	2.799558932
1	2.713915002
2	2.642591378
3	2.587173831
4	2.518257478
5	2.474581753
6	2.432494885
7	2.380983834
8	2.332889031
9	2.286552353
10	2.249310402
11	2.215820649
12	2.182108937
13	2.151134341
14	2.119965297
15	2.093725146
16	2.07199322
17	2.04835402
18	2.026327666
19	2.00526867
20	1.985413396
21	1.964048725
22	1.945847511
23	1.926521638
24	1.911298521
25	1.887547524
26	1.87224669
27	1.855447828
28	1.835545162
29	1.819293564
30	1.805591891
31	1.792781764
32	1.778006246
33	1.76456426
34	1.752801626
35	1.739903723
36	1.727510258
37	1.714829153
38	1.703040265
39	1.691127167
40	1.680495868
41	1.666550446
42	1.657923216
43	1.650202706
44	1.641368339
45	1.629384794
46	1.619848846
47	1.610339499
48	1.602352751
49	1.593110445
50	1.580821161
51	1.573602559
52	1.56379109
53	1.553024431
54	1.547014638
55	1.535814489
56	1.525494783
57	1.517945982
58	1.512198323
59	1.505463485
60	1.495190258
61	1.488962759
62	1.482844226
63	1.477389596
64	1.471017553
65	1.462411602
66	1.455890422
67	1.450945023
68	1.44358273
69	1.435376986
70	1.428676423
71	1.421072263
72	1.415775787
73	1.410763642
74	1.405896759
75	1.399046346
76	1.390308341
77	1.383818952
78	1.377771797
79	1.366052558
80	1.359226838
81	1.350015745
82	1.343105143
83	1.336924514
84	1.330665787
85	1.325749765
86	1.320722705
87	1.316532435
88	1.309783996
89	1.304086287
90	1.300527602
91	1.29485196
92	1.288654157
93	1.282293584
94	1.276088395
95	1.271073647
96	1.264762505
97	1.258404711
98	1.25352676
99	1.250564052
100	1.244763841
101	1.239314427
102	1.233409545
103	1.228246337
104	1.224653969
105	1.217514102
106	1.213777114
107	1.206395557
108	1.201067983
109	1.197091894
110	1.192562173
111	1.188839801
112	1.184241523
113	1.177345944
114	1.170193365
115	1.164727861
116	1.161480353
117	1.157193781
118	1.149962437
119	1.145243662
120	1.141202336
121	1.137754257
122	1.13442144
123	1.127234467
124	1.119544121
125	1.115055681
126	1.11167614
127	1.105143785
128	1.099550185
129	1.093938951
130	1.088154866
131	1.084845016
132	1.077661128
133	1.073344635
134	1.066032878
135	1.061625186
136	1.057964248
137	1.053568082
138	1.052399524
139	1.046991469
140	1.043076953
141	1.040862253
142	1.037614112
143	1.035210749
144	1.032026539
145	1.027738268
146	1.024054222
147	1.020893534
148	1.014444469
149	1.012088717
150	1.01006124
151	1.0071466
152	1.004989832
153	1.002652327
154	1.000083155
155	0.9970477752
156	0.9936378402
157	0.9884679871
158	0.9847089961
159	0.9824390193
160	0.9791526927
161	0.9766937885
162	0.9703505223
163	0.9685509826
164	0.9677315003
165	0.9620479012
166	0.9589079584
167	0.9552089872
168	0.9505290592
169	0.9482428073
170	0.9431222082
171	0.9394875268
172	0.9367235418
173	0.9324568822
174	0.9289082373
175	0.9271525607
176	0.9250225759
177	0.9215637202
178	0.9185740653
179	0.9158474248
180	0.9128535246
181	0.9076662223
182	0.9044527049
183	0.9000991373
184	0.8985598857
185	0.8954750754
186	0.8921567086
187	0.8890239508
188	0.8857571817
189	0.8844991331
190	0.8828418577
191	0.8809220683
192	0.8785314118
193	0.8757230075
194	0.8746338297
195	0.8710597303
196	0.8679569245
197	0.8645655402
198	0.8618432471
199	0.8603050299
200	0.8557946685
201	0.8537310192
202	0.8511051751
203	0.8493890098
204	0.8466347536
205	0.8448987334
206	0.843290292
207	0.8393724845
208	0.8375758472
209	0.8341567318
210	0.8302310488
211	0.8283837521
212	0.8256478275
213	0.8236782077
214	0.8211498405
215	0.8188826365
216	0.817013602
217	0.8155415006
218	0.8143229118
219	0.8118248398
220	0.81055611
221	0.8090853587
222	0.8078850752
223	0.8061325984
224	0.8046214716
225	0.8040300184
226	0.803180356
227	0.8004272406
228	0.7984538645
229	0.7963327534
230	0.7937172865
231	0.7913156001
232	0.7897013109
233	0.7873632325
234	0.7868264153
235	0.7822654047
236	0.7808734627
237	0.7784689609
238	0.7751820022
239	0.7742693328
240	0.7736299742
241	0.7710891654
242	0.769279971
243	0.7656041344
244	0.7647407125
245	0.7630357533
246	0.761568231
247	0.7599189321
248	0.7586007839
249	0.754670367
250	0.75305644
251	0.7502750532
252	0.7485616212
253	0.7453730904
254	0.7436153485
255	0.7417993994
256	0.7391654652
257	0.7375579303
258	0.7346669551
259	0.7322072364
260	0.7301160507
261	0.7295529344
262	0.7274525016
263	0.7265445954
264	0.7260194614
265	0.7233978506
266	0.7211882426
267	0.7197735258
268	0.7184628258
269	0.7168775862
270	0.7143743151
271	0.713258454
272	0.7109627496
273	0.7096429319
274	0.70754056
275	0.7066473248
276	0.705474731
277	0.7044414272
278	0.7012059929
279	0.6998432607
280	0.696468947
281	0.6941742441
282	0.6926151746
283	0.690889503
284	0.688714396
285	0.6862185751
286	0.6850906816
