iter	Passed	Remaining
0	352	351829
1	353	176571
2	355	118127
3	356	88739
4	358	71260
5	360	59657
6	363	51551
7	365	45371
8	368	40549
9	370	36651
10	373	33602
11	375	30947
12	377	28698
13	379	26757
14	381	25061
15	384	23619
16	386	22375
17	389	21223
18	390	20182
19	392	19242
20	394	18398
21	396	17616
22	399	16973
23	400	16292
24	402	15686
25	403	15126
26	406	14640
27	407	14147
28	409	13706
29	410	13274
30	412	12878
31	413	12507
32	415	12174
33	417	11855
34	418	11550
35	421	11282
36	422	11005
37	424	10742
38	425	10491
39	427	10270
40	429	10048
41	431	9837
42	432	9622
43	434	9431
44	435	9249
45	438	9097
46	440	8932
47	442	8777
48	443	8614
49	445	8464
50	447	8318
51	448	8181
52	450	8049
53	452	7920
54	453	7799
55	455	7685
56	457	7571
57	459	7455
58	460	7349
59	462	7247
60	464	7145
61	470	7115
62	472	7023
63	473	6928
64	475	6839
65	477	6752
66	478	6667
67	480	6585
68	482	6508
69	484	6436
70	485	6351
71	487	6280
72	488	6209
73	490	6139
74	493	6081
75	495	6021
76	497	5959
77	498	5894
78	500	5834
79	502	5775
80	504	5718
81	505	5660
82	507	5603
83	508	5547
84	510	5494
85	512	5442
86	513	5391
87	516	5352
88	519	5322
89	521	5270
90	522	5224
91	524	5178
92	526	5133
93	529	5101
94	531	5062
95	532	5018
96	534	4972
97	535	4933
98	537	4892
99	539	4853
100	541	4816
101	542	4774
102	543	4736
103	545	4703
104	547	4668
105	549	4633
106	553	4616
107	554	4583
108	556	4548
109	557	4507
110	558	4475
111	560	4444
112	562	4413
113	564	4390
114	567	4365
115	568	4335
116	570	4304
117	571	4274
118	573	4246
119	575	4218
120	577	4192
121	579	4168
122	581	4146
123	585	4134
124	591	4139
125	596	4138
126	598	4115
127	601	4097
128	603	4076
129	606	4058
130	610	4051
131	612	4025
132	613	4002
133	615	3977
134	618	3962
135	620	3942
136	622	3919
137	625	3908
138	637	3946
139	640	3932
140	642	3911
141	644	3893
142	648	3884
143	650	3864
144	652	3846
145	653	3824
146	655	3803
147	657	3786
148	659	3765
149	661	3747
150	663	3728
151	664	3707
152	666	3687
153	667	3667
154	670	3654
155	671	3635
156	673	3617
157	675	3602
158	677	3583
159	678	3562
160	680	3544
161	682	3532
162	690	3543
163	692	3531
164	694	3513
165	696	3497
166	698	3483
167	700	3467
168	701	3448
169	702	3431
170	704	3414
171	705	3397
172	707	3380
173	709	3370
174	712	3356
175	714	3344
176	716	3329
177	717	3313
178	718	3294
179	719	3278
180	721	3262
181	724	3255
182	726	3243
183	728	3228
184	732	3229
185	734	3214
186	736	3200
187	738	3189
188	739	3173
189	741	3159
190	743	3148
191	744	3133
192	745	3119
193	747	3105
194	752	3104
195	753	3091
196	754	3074
197	755	3059
198	756	3046
199	757	3031
200	758	3016
201	760	3003
202	761	2990
203	763	2978
204	765	2967
205	770	2968
206	772	2957
207	773	2945
208	778	2947
209	780	2935
210	781	2923
211	783	2913
212	785	2901
213	786	2889
214	788	2878
215	790	2868
216	791	2857
217	794	2848
218	795	2837
219	797	2826
220	798	2815
221	800	2804
222	802	2796
223	804	2786
224	806	2776
225	807	2765
226	809	2756
227	812	2750
228	814	2740
229	815	2730
230	817	2721
231	819	2711
232	820	2701
233	822	2691
234	823	2681
235	827	2677
236	828	2667
237	863	2765
238	868	2764
239	871	2760
240	873	2752
241	875	2742
242	879	2740
243	881	2731
244	884	2724
245	910	2791
246	913	2783
247	914	2773
248	916	2763
249	917	2753
250	919	2743
251	921	2736
252	923	2727
253	930	2731
254	932	2723
255	933	2713
256	936	2706
257	938	2699
258	940	2690
259	941	2680
260	943	2670
261	944	2660
262	948	2657
263	949	2648
264	950	2637
265	952	2629
266	954	2619
267	955	2610
